,Last_Price,Company Name,Sector
PFG,77.2699966430664,"Principal Financial Group, Inc.",Financials
SNA,329.8800048828125,Snap-on Incorporated,Industrials
CLX,139.82000732421875,The Clorox Company,Consumer Staples
LUV,28.549999237060547,Southwest Airlines Co.,Industrials
PKG,189.44000244140625,Packaging Corporation of America,Consumer Discretionary
ON,39.20000076293945,ON Semiconductor Corporation,Technology
HRL,29.709999084472656,Hormel Foods Corporation,Consumer Staples
FDS,426.82000732421875,FactSet Research Systems Inc.,Financials
BF-B,34.119998931884766,Brown-Forman Corporation,Consumer Staples
KEY,14.520000457763672,KeyCorp,Financials
GPC,113.9800033569336,Genuine Parts Company,Consumer Discretionary
BAX,30.75,Baxter International Inc.,Healthcare
STX,74.29000091552734,Seagate Technology Holdings plc,Technology
GEN,25.40999984741211,Gen Digital Inc.,Technology
DPZ,456.3500061035156,"Domino's Pizza, Inc.",Consumer Discretionary
DLTR,72.56999969482422,"Dollar Tree, Inc.",Consumer Staples
COO,77.9000015258789,"The Cooper Companies, Inc.",Healthcare
LNT,60.41999816894531,Alliant Energy Corporation,Utilities
FFIV,264.1400146484375,"F5, Inc.",Technology
EXPD,109.93000030517578,"Expeditors International of Washington, Inc.",Industrials
TRMB,61.4900016784668,Trimble Inc.,Technology
JBL,137.3800048828125,Jabil Inc.,Technology
OMC,76.5199966430664,Omnicom Group Inc.,Communication Services
EVRG,65.16999816894531,"Evergy, Inc.",Utilities
EG,348.3800048828125,"Everest Group, Ltd.",Financials
UDR,41.06999969482422,"UDR, Inc.",Real Estate
WST,203.52999877929688,"West Pharmaceutical Services, Inc.",Healthcare
J,118.54000091552734,Jacobs Solutions Inc.,Industrials
JBHT,141.64999389648438,"J.B. Hunt Transport Services, Inc.",Industrials
BLDR,124.7300033569336,"Builders FirstSource, Inc.",Industrials
ARE,80.81999969482422,"Alexandria Real Estate Equities, Inc.",Real Estate
TPR,67.27999877929688,"Tapestry, Inc.",Consumer Discretionary
PNR,84.02999877929688,Pentair plc,Industrials
KIM,20.15999984741211,Kimco Realty Corporation,Real Estate
MAS,63.77000045776367,Masco Corporation,Industrials
BBY,63.650001525878906,"Best Buy Co., Inc.",Consumer Discretionary
AVY,168.86000061035156,Avery Dennison Corporation,Consumer Discretionary
HOLX,59.310001373291016,"Hologic, Inc.",Healthcare
DOC,18.639999389648438,"Healthpeak Properties, Inc.",Real Estate
BALL,46.68000030517578,Ball Corporation,Consumer Discretionary
IEX,173.8000030517578,IDEX Corporation,Industrials
RL,208.3699951171875,Ralph Lauren Corporation,Consumer Discretionary
TER,79.44000244140625,"Teradyne, Inc.",Technology
REG,69.66000366210938,Regency Centers Corporation,Real Estate
WDC,36.29999923706055,Western Digital Corporation,Technology
ZBRA,243.77000427246094,Zebra Technologies Corporation,Technology
JKHY,170.7100067138672,"Jack Henry & Associates, Inc.",Technology
KMX,80.05999755859375,"CarMax, Inc.",Consumer Discretionary
TAP,60.58000183105469,Molson Coors Beverage Company,Consumer Staples
CAG,25.690000534057617,"Conagra Brands, Inc.",Consumer Staples
SJM,115.08000183105469,The J. M. Smucker Company,Consumer Staples
DVA,152.86000061035156,DaVita Inc.,Healthcare
RVTY,101.33999633789062,"Revvity, Inc.",Healthcare
ALGN,165.02999877929688,"Align Technology, Inc.",Healthcare
TXT,66.77999877929688,Textron Inc.,Industrials
CPT,111.70999908447266,Camden Property Trust,Real Estate
CF,70.5,"CF Industries Holdings, Inc.",Materials
UHS,183.07000732421875,"Universal Health Services, Inc.",Healthcare
POOL,313.55999755859375,Pool Corporation,Industrials
JNPR,35.150001525878906,"Juniper Networks, Inc.",Technology
AKAM,76.3499984741211,"Akamai Technologies, Inc.",Technology
CPB,38.25,The Campbell's Company,Consumer Staples
INCY,58.86000061035156,Incyte Corporation,Healthcare
BXP,61.59000015258789,"BXP, Inc.",Real Estate
CHRW,91.94000244140625,"C.H. Robinson Worldwide, Inc.",Industrials
PNW,90.62000274658203,Pinnacle West Capital Corporation,Utilities
LKQ,41.61000061035156,LKQ Corporation,Consumer Discretionary
NDSN,187.2899932861328,Nordson Corporation,Industrials
GL,122.62999725341797,Globe Life Inc.,Financials
HST,14.220000267028809,"Host Hotels & Resorts, Inc.",Real Estate
BG,74.29000091552734,Bunge Global SA,Consumer Staples
SWK,64.22000122070312,"Stanley Black & Decker, Inc.",Industrials
AIZ,193.24000549316406,"Assurant, Inc.",Financials
BEN,18.579999923706055,"Franklin Resources, Inc.",Financials
SWKS,60.27000045776367,"Skyworks Solutions, Inc.",Technology
EMN,81.4800033569336,Eastman Chemical Company,Materials
WBA,10.779999732971191,"Walgreens Boots Alliance, Inc.",Healthcare
IPG,24.969999313354492,"The Interpublic Group of Companies, Inc.",Communication Services
VTRS,7.789999961853027,Viatris Inc.,Healthcare
AOS,62.560001373291016,A. O. Smith Corporation,Industrials
MGM,29.93000030517578,MGM Resorts International,Consumer Discretionary
TECH,54.06999969482422,Bio-Techne Corporation,Healthcare
HSIC,66.16000366210938,"Henry Schein, Inc.",Healthcare
WYNN,75.83000183105469,"Wynn Resorts, Limited",Consumer Discretionary
AES,11.140000343322754,The AES Corporation,Utilities
MOS,24.68000030517578,The Mosaic Company,Materials
FRT,90.37999725341797,Federal Realty Investment Trust,Real Estate
HAS,55.18000030517578,"Hasbro, Inc.",Consumer Discretionary
MKTX,203.19000244140625,MarketAxess Holdings Inc.,Financials
PARA,11.140000343322754,Paramount Global,Communication Services
MTCH,29.190000534057617,"Match Group, Inc.",Communication Services
ALB,60.470001220703125,Albemarle Corporation,Materials
CRL,139.07000732421875,"Charles River Laboratories International, Inc.",Healthcare
MHK,108.94999694824219,"Mohawk Industries, Inc.",Consumer Discretionary
IVZ,13.649999618530273,Invesco Ltd.,Financials
APA,16.709999084472656,APA Corporation,Energy
^GSPC,5456.89990234375,,
